all	nonSym	cladeA	cladeB	cladeC	cladeD
1876	0	13	8	1841	14	L5-S1_S216_symbiont_counts.txt
1961	0	17	9	1925	10	L5-S2_S217_symbiont_counts.txt
1940	0	18	2	1908	12	L5-S3_S218_symbiont_counts.txt
959	0	7	2	945	5	L5-T1_S222_symbiont_counts.txt
1702	0	9	1	1690	2	L5-T2_S223_symbiont_counts.txt
1567	0	4	1	1559	3	L5-T3_S224_symbiont_counts.txt
2525	0	26	5	2477	17	N12-S1_S219_symbiont_counts.txt
3969	0	15	2	3933	19	N12-S2_S220_symbiont_counts.txt
2597	0	14	4	2559	20	N12-S3_S221_symbiont_counts.txt
2865	0	5	5	2850	5	N12-T1_S225_symbiont_counts.txt
4555	0	11	10	4529	5	N12-T2_S226_symbiont_counts.txt
2906	0	16	12	2872	6	N12-T3_S227_symbiont_counts.txt
